date,stromverbrauch,kernkraft,thermische,flusskraft,speicherkraft,wind,photovoltaik,eigenproduktion,nettoimporte
2014-01-01,175.4,80.1,10.3,26.1,23.3,,,140,35.7
2014-01-02,183.4,80.1,10.3,26.0,26.1,,,142,41.0
2014-01-03,194.6,80.1,10.3,26.8,28.0,,,145,49.5
2014-01-04,186.5,80.1,10.3,31.6,21.6,,,144,42.9
2014-01-05,176.1,80.0,10.3,33.5,18.5,,,142,33.9
2014-01-06,203.8,80.1,10.3,31.2,28.3,,,150,54.0
2014-01-07,200.9,80.0,10.3,32.6,47.4,,,170,30.5
2014-01-08,198.2,79.9,10.3,32.1,49.9,,,172,26.0
2014-01-09,200.3,79.5,10.3,31.0,44.0,,,165,35.4
2014-01-10,201.7,80.0,10.3,32.8,50.8,,,174,27.9
2014-01-11,180.6,80.0,10.3,30.0,25.5,,,146,34.7
2014-01-12,174.9,80.0,10.3,28.3,22.6,,,141,33.7
2014-01-13,207.2,80.0,10.3,29.4,51.8,,,172,35.8
2014-01-14,211.5,80.0,10.3,31.8,60.0,,,182,29.4
2014-01-15,210.3,80.1,10.3,31.2,59.6,,,181,29.2
2014-01-16,209.5,80.0,10.3,30.9,58.0,,,179,30.3
2014-01-17,209.8,80.0,10.3,32.7,58.0,,,181,28.9
2014-01-18,184.3,80.1,10.3,30.8,39.2,,,160,24.0
2014-01-19,176.3,80.0,10.3,30.3,26.3,,,147,29.5
2014-01-20,211.0,80.0,10.3,35.0,69.5,,,195,16.2
2014-01-21,212.5,80.1,10.3,34.0,66.6,,,191,21.6
2014-01-22,211.7,80.0,10.3,32.0,57.1,,,179,32.3
2014-01-23,214.5,80.1,10.3,32.4,67.3,,,190,24.5
2014-01-24,213.0,80.1,10.3,31.7,62.0,,,184,28.9
2014-01-25,191.5,80.1,10.3,25.2,30.3,,,146,45.6
2014-01-26,182.4,80.1,10.3,24.1,25.8,,,140,42.2
2014-01-27,212.3,80.0,10.3,29.1,63.0,,,182,29.9
2014-01-28,215.3,71.4,10.3,31.1,68.6,,,181,33.9
