date,Datum_Speicherseen,fuellstand_gwh,erzeugte_Energie_Speicherkraft_gwh,zufluss_gwh
2014-01-06,2014-01-06,5245.0,28.3,25.15714285714286
2014-01-07,2014-01-06,5245.0,47.4,44.25714285714285
2014-01-08,2014-01-06,5245.0,49.9,46.75714285714285
2014-01-09,2014-01-06,5245.0,44.0,40.857142857142854
2014-01-10,2014-01-06,5245.0,50.8,47.65714285714285
2014-01-11,2014-01-06,5245.0,25.5,22.357142857142858
2014-01-12,2014-01-06,5245.0,22.6,19.45714285714286
2014-01-13,2014-01-13,5089.0,51.8,29.514285714285712
2014-01-14,2014-01-13,5089.0,60.0,37.714285714285715
2014-01-15,2014-01-13,5089.0,59.6,37.31428571428572
2014-01-16,2014-01-13,5089.0,58.0,35.714285714285715
2014-01-17,2014-01-13,5089.0,58.0,35.714285714285715
2014-01-18,2014-01-13,5089.0,39.2,16.914285714285718
2014-01-19,2014-01-13,5089.0,26.3,4.014285714285716
2014-01-20,2014-01-20,4817.0,69.5,30.642857142857146
2014-01-21,2014-01-20,4817.0,66.6,27.74285714285714
2014-01-22,2014-01-20,4817.0,57.1,18.242857142857147
2014-01-23,2014-01-20,4817.0,67.3,28.442857142857143
2014-01-24,2014-01-20,4817.0,62.0,23.142857142857146
2014-01-25,2014-01-20,4817.0,30.3,-8.557142857142853
2014-01-26,2014-01-20,4817.0,25.8,-13.057142857142853
2014-01-27,2014-01-27,4512.0,63.0,19.42857142857143
2014-01-28,2014-01-27,4512.0,68.6,25.028571428571425
2014-01-29,2014-01-27,4512.0,70.5,26.92857142857143
2014-01-30,2014-01-27,4512.0,71.4,27.828571428571436
2014-01-31,2014-01-27,4512.0,65.8,22.228571428571428
2014-02-01,2014-01-27,4512.0,38.0,-5.571428571428569
2014-02-02,2014-01-27,4512.0,31.5,-12.07142857142857
2014-02-03,2014-02-03,4170.0,73.7,24.84285714285715
2014-02-04,2014-02-03,4170.0,70.9,22.04285714285715
2014-02-05,2014-02-03,4170.0,78.8,29.942857142857143
2014-02-06,2014-02-03,4170.0,56.5,7.642857142857146
2014-02-07,2014-02-03,4170.0,66.7,17.84285714285715
2014-02-08,2014-02-03,4170.0,34.8,-14.057142857142857
2014-02-09,2014-02-03,4170.0,33.4,-15.457142857142856
2014-02-10,2014-02-10,3850.0,73.8,28.085714285714282
2014-02-11,2014-02-10,3850.0,76.8,31.085714285714282
2014-02-12,2014-02-10,3850.0,64.6,18.88571428571428
2014-02-13,2014-02-10,3850.0,73.7,27.985714285714288
2014-02-14,2014-02-10,3850.0,68.7,22.985714285714288
2014-02-15,2014-02-10,3850.0,33.8,-11.914285714285718
2014-02-16,2014-02-10,3850.0,23.3,-22.414285714285715
2014-02-17,2014-02-17,3524.0,64.6,18.028571428571425
2014-02-18,2014-02-17,3524.0,70.6,24.028571428571425
2014-02-19,2014-02-17,3524.0,66.9,20.328571428571436
2014-02-20,2014-02-17,3524.0,54.8,8.228571428571428
2014-02-21,2014-02-17,3524.0,56.7,10.128571428571433
2014-02-22,2014-02-17,3524.0,37.0,-9.57142857142857
2014-02-23,2014-02-17,3524.0,25.7,-20.87142857142857
2014-02-24,2014-02-24,3242.0,58.8,18.514285714285712
2014-02-25,2014-02-24,3242.0,59.4,19.114285714285714
2014-02-26,2014-02-24,3242.0,76.2,35.91428571428572
2014-02-27,2014-02-24,3242.0,67.0,26.714285714285715
2014-02-28,2014-02-24,3242.0,70.9,30.61428571428572
2014-03-01,2014-02-24,3242.0,44.4,4.114285714285714
2014-03-02,2014-02-24,3242.0,28.7,-11.585714285714285
2014-03-03,2014-03-03,2917.0,72.2,25.771428571428572
2014-03-04,2014-03-03,2917.0,83.4,36.971428571428575
2014-03-05,2014-03-03,2917.0,71.6,25.171428571428564
2014-03-06,2014-03-03,2917.0,66.2,19.771428571428572
2014-03-07,2014-03-03,2917.0,62.1,15.67142857142857
2014-03-08,2014-03-03,2917.0,28.1,-18.32857142857143
2014-03-09,2014-03-03,2917.0,22.1,-24.32857142857143
2014-03-10,2014-03-10,2591.0,54.6,8.028571428571432
2014-03-11,2014-03-10,2591.0,52.9,6.328571428571429
2014-03-12,2014-03-10,2591.0,61.0,14.42857142857143
2014-03-13,2014-03-10,2591.0,60.8,14.228571428571428
2014-03-14,2014-03-10,2591.0,57.5,10.92857142857143
2014-03-15,2014-03-10,2591.0,35.0,-11.57142857142857
